finding_id,research_question,topic,metric,spatial_scope,population,temporal_scope,temporal_role,evidence_mode,evidence_status,main_result,numeric_evidence,robustness_status,interpretation_boundary,source_phase,source_id,source_locator,manuscript_use,causal_claim_flag,source_relative_path,source_sha256,source_authenticated,evidence_matrix_version
P9A011,RQ4,cr_balance_reversals,cr_balance_stage,Amazon_and_Cerrado,primary_high_nat_tmp_cohort,1985_2020,primary,descriptive,supported,Persistent late consolidation and earlier reversals coexist; there is no universal linear replenishment-to-consolidation succession.,Any direct or mediated reversal: Amazon 83.0%; Cerrado 57.2%.,not_assessed,Repeated transitions from the same cell are descriptive and are not independent probabilities from a fitted model.,4,phase4_temporal,Reversals and recurrence,main_result,0,phase4/phase4_temporal_synthesis_v1.md,671f34296136545c54fcb1b8090352ceb5b0964d60b1cb818d19a007f6aedf23,True,phase9a-integrated-evidence-matrix-v1
P9A012,RQ4,global_spatial_autocorrelation,13_canonical_metrics,combined_domain,metric_specific_valid_support,1985_2025,both,global_inference,supported,All canonical Global Moran tests show positive spatial association and remain significant after BY correction.,"104/104 tests positive and BY-significant; 9,999 permutations per test.",not_assessed,Global Moran establishes overall association but does not locate clusters or imply causal processes.,5,phase5_findings,Achado principal,main_result,0,phase5/global_moran_findings_phase5_v1.md,6ab0fa6790ea802a5816f8e52aea45862a276a26ab1172f58363280183f1e554,True,phase9a-integrated-evidence-matrix-v1
P9A013,RQ4,global_temporal_change,global_moran_i,combined_domain,metric_specific_valid_support,1985_2020,primary,global_inference,qualified,Several absolute process metrics have lower Global Moran coefficients late in the primary period than initially.,Consolidation 0.799 to 0.559; replenishment 0.770 to 0.614; NAT-to-TMP 0.550 to 0.361.,not_assessed,Separate interval permutation tests do not test the significance of between-date differences or a temporal trend.,5,phase5_findings,Magnitudes in the full domain,qualification,0,phase5/global_moran_findings_phase5_v1.md,6ab0fa6790ea802a5816f8e52aea45862a276a26ab1172f58363280183f1e554,True,phase9a-integrated-evidence-matrix-v1
P9A014,RQ4,local_hotspots,replenishment_ha,combined_domain,all_canonical_cells,1985_2020,primary,local_inference,supported,Replenishment has the broadest and most persistent absolute-process HH structure.,"18,067 HH cell-map records; 4,354 cells with primary HH persistence; mean adjacent HH Jaccard = 0.389.",not_assessed,HH denotes locally high values relative to the map and significant neighbors; it is not a causal region.,6,phase6_findings,Replenishment,main_result,0,phase6/local_moran_lisa_findings_phase6_v1.md,18844dba41319df03e47828a0f84a4da040575f35e53c5a26f31d64f565dbb9c,True,phase9a-integrated-evidence-matrix-v1
P9A015,RQ4,local_hotspots,nat_tmp_endpoint_ha,combined_domain,all_canonical_cells,1985_2020,primary,local_inference,supported,Endpoint NAT-to-TMP HH clusters are fewer and more temporally variable than replenishment clusters.,"3,134 HH cell-map records; 664 persistent cells; mean adjacent HH Jaccard = 0.260.",not_assessed,Large significant totals in some maps are dominated by LL zero-rich structure and must not be described as extensive hotspots.,6,phase6_findings,NAT-to-TMP endpoint area,main_result,0,phase6/local_moran_lisa_findings_phase6_v1.md,18844dba41319df03e47828a0f84a4da040575f35e53c5a26f31d64f565dbb9c,True,phase9a-integrated-evidence-matrix-v1
P9A016,RQ4,local_balance_structure,cr_balance_index,combined_domain,active_canonical_cells,1985_2020,primary,local_inference,supported,The bounded C-R index has the strongest adjacent HH stability among the primary local results.,"19,358 HH cell-map records; 3,543 persistent HH cells; mean adjacent HH Jaccard = 0.620.",not_assessed,HH means relatively high index within active support; substantive consolidation dominance still requires index > +1/3.,6,phase6_findings,C-R balance index,main_result,0,phase6/local_moran_lisa_findings_phase6_v1.md,18844dba41319df03e47828a0f84a4da040575f35e53c5a26f31d64f565dbb9c,True,phase9a-integrated-evidence-matrix-v1
P9A017,RQ4,multiplicity_sensitivity,local_moran_classes,combined_domain,tested_nonisland_cells,1985_2025,both,sensitivity,qualified,Local significance is materially sensitive to the conservative BY correction.,"BY retains 72,221 of 168,860 BH-significant cell-map records = 42.77%.",sensitive,BH remains the prespecified primary rule; highlighted clusters may be labelled BY-robust only when they pass BY.,6,phase6_findings,Multiple-testing sensitivity,qualification,0,phase6/local_moran_lisa_findings_phase6_v1.md,18844dba41319df03e47828a0f84a4da040575f35e53c5a26f31d64f565dbb9c,True,phase9a-integrated-evidence-matrix-v1
P9A018,RQ4,biome_process_totals,consolidation_replenishment_nat_tmp,Amazon_and_Cerrado,primary_biome_assignment,1985_2020,primary,descriptive,supported,"Consolidation and endpoint NAT-to-TMP are Cerrado-associated over the primary period, while replenishment totals are similar with a slightly larger Amazon contribution.",Million ha: consolidation Amazon 5.10 vs Cerrado 15.02; replenishment 47.81 vs 45.81; NAT-to-TMP 2.04 vs 7.11.,robust,Primary-biome assignment attributes whole cells and is not an exact pixel partition by biome.,7,phase7_findings,Process magnitude and changing biome contributions,main_result,0,phase7/phase7_biome_comparison_findings_v1.md,7dbc6c0f7d7744fd37c524a3383066af806b4403cbb3a375cbcbee88536b34f1,True,phase9a-integrated-evidence-matrix-v1
P9A019,RQ4,biome_trajectory_dynamics,nat_tmp_magnitude_class,Amazon_and_Cerrado,primary_biome_assignment,1985_2020,primary,descriptive,supported,NAT-to-TMP magnitude classes are more dynamic through time in Cerrado than Amazon.,"Mean state changes: Amazon 0.79, Cerrado 2.13; constant trajectories: 68.0% vs 18.0%.",robust,State changes are five-year cell classes and do not track annual pixel trajectories.,7,phase7_findings,Cell-state trajectories,main_result,0,phase7/phase7_biome_comparison_findings_v1.md,7dbc6c0f7d7744fd37c524a3383066af806b4403cbb3a375cbcbee88536b34f1,True,phase9a-integrated-evidence-matrix-v1
P9A020,RQ4,biome_hh_contribution,five_focal_metrics,Amazon_and_Cerrado,combined_domain_lisa_classes,1985_2020,primary,local_inference,supported,"Cerrado contributes more persistent HH cells for consolidation, NAT-to-TMP and C-R balance, whereas Amazon contributes more for replenishment.","Persistent replenishment HH: Amazon 2,785 vs Cerrado 1,569; persistent NAT-to-TMP HH: 153 vs 511.",robust,"These are biome contributions to the accepted combined-domain LISA pattern, not newly fitted within-biome Local Moran models.",7,phase7_findings,HH occurrence and persistence,main_result,0,phase7/phase7_biome_comparison_findings_v1.md,7dbc6c0f7d7744fd37c524a3383066af806b4403cbb3a375cbcbee88536b34f1,True,phase9a-integrated-evidence-matrix-v1
P9A021,RQ4,biome_boundary_sensitivity,all_phase7_outputs,Amazon_and_Cerrado,primary_assignment_vs_nontransbiome,1985_2025,both,sensitivity,supported,The principal biome comparisons are stable when all 582 transbiome cells are removed.,All 160 Global Moran significance decisions retained; maximum absolute I change = 0.044848.,robust,Stability does not make primary-biome totals exact within-biome pixel totals.,7,phase7_findings,Boundary-cell sensitivity,qualification,0,phase7/phase7_biome_comparison_findings_v1.md,7dbc6c0f7d7744fd37c524a3383066af806b4403cbb3a375cbcbee88536b34f1,True,phase9a-integrated-evidence-matrix-v1
P9A022,RQ5,aggregate_and_temporal_maup,core_process_metrics,alternative_grids,fixed_domain_supported_cells,1985_2025,both,sensitivity,supported,"Aggregate signs, dominance classes and temporal extrema are robust to alternative scale and zoning, while some conditional distributions are sensitive.",All 192 aggregate and 48 temporal comparisons pass; shifted 20k passes all components; 10k and 40k have distribution/support sensitivities.,partially_robust,Robust aggregate behavior does not guarantee invariance of cell-level distributions.,8C,phase8c_findings,Main findings and qualifications,main_result,0,phase8c/phase8c_maup_robustness_findings_v1.md,b152701ea505df61ceb54640b2246650b4b4c00ee22a38d157016dc28f22f886,True,phase9a-integrated-evidence-matrix-v1
P9A023,RQ5,global_moran_maup,five_focal_metrics,alternative_grids,support_fraction_ge_0_50,1985_2025,both,sensitivity,supported,The positive direction and formal significance of global spatial clustering are robust across alternative grids.,120/120 alternative coefficients positive and BY-significant; 119/120 interval magnitude checks pass.,robust,Exact coefficient magnitudes and temporal ranking are separate robustness criteria.,8D,phase8d_findings,Main outcome,main_result,0,phase8d/phase8d_maup_global_moran_findings_v1.md,fbcf709035c7f40cd5a2de6682a94b05568d12cc3d1f1d64be22c399768c4eb4,True,phase9a-integrated-evidence-matrix-v1
P9A024,RQ5,global_moran_temporal_maup,five_focal_metrics,alternative_grids,support_fraction_ge_0_50,1985_2025,both,sensitivity,qualified,Exact Global Moran magnitudes and temporal ordering show partial MAUP sensitivity concentrated in NAT-to-TMP.,One interval magnitude failure and 8/30 strict temporal failures; all six aggregate grid-window assessments fail at least one strict criterion.,partially_robust,Failure of a strict comparison does not imply absence of positive spatial autocorrelation.,8D,phase8d_assessment,Six grid-window assessment rows,qualification,0,phase8d/canonical_maup_global_moran_assessment_v1.csv,fac984fff7abf20b4cb9c284c8bdc082e775d0d656a369d77617bae6282d8e39,True,phase9a-integrated-evidence-matrix-v1
P9A025,RQ5,hh_cluster_maup,replenishment_and_cr_balance,alternative_grids,shared_supported_footprints,1985_2025,both,sensitivity,supported,"HH location and persistence are robust for replenishment, net C-R balance and the bounded C-R index.","Each metric passes 6/6 grid-window assessments; interval passes are 24/24, 23/24 and 24/24 respectively.",robust,"Agreement is broad area-weighted footprint agreement, not cell-for-cell identity.",8E,phase8e_assessment,Metric-specific assessment rows,main_result,0,phase8e/canonical_maup_hh_robustness_assessment_v1.csv,cbdfb3825948ab7f7e81535c9d06fb110dec846881096b06c657e328092687b4,True,phase9a-integrated-evidence-matrix-v1
P9A026,RQ5,hh_cluster_maup,consolidation_density,alternative_grids,shared_supported_footprints,1985_2025,both,sensitivity,qualified,"Consolidation HH recurrence and persistence are recognizable, but interval footprint location is scale-sensitive.",3/6 complete assessments pass; 16/24 interval maps pass.,partially_robust,Describe as partial robustness rather than either full invariance or invalidity.,8E,phase8e_findings,Consolidation,qualification,0,phase8e/phase8e_maup_hh_cluster_findings_v1.md,0384f689779e489a85452d1b560e55cee574fe1a591a14384f729b1c1bfc93b7,True,phase9a-integrated-evidence-matrix-v1
P9A027,RQ5,hh_cluster_maup,nat_tmp_density,alternative_grids,shared_supported_footprints,1985_2025,both,sensitivity,supported,Endpoint NAT-to-TMP HH footprint location and persistence are sensitive to spatial scale and zoning.,0/6 complete assessments and 7/24 interval comparisons pass.,sensitive,"Many failures retain high overlap coefficients, indicating footprint expansion or contraction around partly shared cores rather than universal relocation.",8E,phase8e_findings,Endpoint NAT-to-TMP,main_result,0,phase8e/phase8e_maup_hh_cluster_findings_v1.md,0384f689779e489a85452d1b560e55cee574fe1a591a14384f729b1c1bfc93b7,True,phase9a-integrated-evidence-matrix-v1
P9A028,RQ5,canonical_support_decision,all_core_results,combined_domain,canonical_20k_cells,1985_2025,both,sensitivity,supported,"The canonical approximately 20,000-ha grid remains the primary analytical support after the MAUP assessment.",Phase 8A-E completed; alternative grids remain sensitivity analyses.,robust,Primary status does not erase metric-specific MAUP sensitivity and must be reported with qualifications.,8,phase8_synthesis,Final Phase 8 decision,main_result,0,phase8e/phase8_maup_robustness_synthesis_v1.md,8cfe0400f61ebf805f166ed100b68f8b290456f986a011aa4fac89ef2ec25c5a,True,phase9a-integrated-evidence-matrix-v1
P9A029,RQ5,diagnostic_extension,all_core_results,combined_domain_and_alternatives,accepted_populations,2020_2025,diagnostic,sensitivity,qualified,The diagnostic interval reinforces some sensitivity findings but does not create the principal NAT-to-TMP MAUP result.,NAT-to-TMP is already sensitive in 1985-2020; 2020-2025 additionally affects full-window 40k consolidation.,partially_robust,Diagnostic evidence is included and flagged but does not replace primary-period conclusions.,8E,phase8_synthesis,Diagnostic extension,qualification,0,phase8e/phase8_maup_robustness_synthesis_v1.md,8cfe0400f61ebf805f166ed100b68f8b290456f986a011aa4fac89ef2ec25c5a,True,phase9a-integrated-evidence-matrix-v1
P9A030,RQ4,causal_boundary,all_metrics,all_scopes,all_populations,1985_2025,both,limitation,qualified,"The accepted evidence supports spatial and temporal association, concentration and persistence statements, not causal attribution.","No commodity-price, infrastructure, policy, tenure or causal-design model is included in Phases 1-8.",not_applicable,Do not translate descriptive or spatial-inference results into causal drivers.,0-9,investigation_plan,Interpretation boundaries,limitation,0,planning/006_spatiotemporal_investigation_plan.md,43f59b644cc47ecc5b8b853909086309db2692bf0a7c27179cfd5b7384109b37,True,phase9a-integrated-evidence-matrix-v1
